Ward,SchoolID,DeptID,SchoolShortName,SchoolLongName,GradeCat,CPSPositions,CTUMembers,CTUNetwork,Address,City,State,Zip
13,610117,24851,PASTEUR,Louis Pasteur Elementary School,ES,70,48,08A,5825 S KOSTNER AVE,Chicago,Illinois,60629
13,610291,26331,LEE,Richard Henry Lee Elementary School,ES,70,51,10B,6448 S TRIPP AVE,Chicago,Illinois,60629
13,610087,30071,BLAIR,Blair Early Childhood Center,ES,70,28,10A,6751 W 63RD PL,Chicago,Illinois,60638
13,609694,46021,HANCOCK HS,John Hancock College Preparatory High School,HS,98,74,015,5437 W 64TH PL,Chicago,Illinois,60638
13,609718,46201,KENNEDY HS,John F Kennedy High School,HS,162,112,016,6325 W 56TH ST,Chicago,Illinois,60638
14,610532,22441,HERNANDEZ,Irene C. Hernandez Middle School for the Advancement of Science,MS,85,71,08A,3510 W 55TH ST,Chicago,Illinois,60632
14,609898,23041,EBERHART,John F Eberhart Elementary School,ES,113,90,10B,3400 W 65TH PL,Chicago,Illinois,60629
14,609903,23081,EDWARDS,Richard Edwards Elementary School,ES,154,109,08A,4815 S KARLOV AVE,Chicago,Illinois,60632
14,610096,24671,NIGHTINGALE,Florence Nightingale Elementary School,ES,106,82,08A,5250 S ROCKWELL ST,Chicago,Illinois,60632
14,610157,25231,SAWYER,Sidney Sawyer Elementary School,ES,108,90,08A,5248 S SAWYER AVE,Chicago,Illinois,60632
14,610203,25631,TONTI,Enrico Tonti Elementary School,ES,92,67,08B,5815 S HOMAN AVE,Chicago,Illinois,60629
14,610226,26721,SANDOVAL,Socorro Sandoval Elementary School,ES,80,64,08A,5534 S SAINT LOUIS AVE,Chicago,Illinois,60629
14,610249,26781,TALMAN,Talman Elementary School,ES,56,37,08B,5450 S TALMAN AVE,Chicago,Illinois,60632
14,610543,46101,SOLORIO HS,Eric Solorio Academy High School,HS,141,106,AUSL-S,5400 S ST LOUIS AVE,Chicago,Illinois,60632
14,609756,53101,CURIE HS,Marie Sklodowska Curie Metropolitan High School,HS,302,230,015,4959 S ARCHER AVE,Chicago,Illinois,60632
14,400149,66137,ACERO - SOTO HS,Acero Charter Schools - Victoria Soto,HS,0,51,CTUA1,5025 S ST. LOUIS AVE,Chicago,Illinois,60632
14,400084,66391,ACERO - TAMAYO,Acero Charter Schools - Rufino Tamayo,ES,0,23,CTUA1,5135 S CALIFORNIA AVE,Chicago,Illinois,60632
14,400085,66394,ACERO - GARCIA HS,Acero Charter Schools - Major Hector P. Garcia MD,HS,0,61,CTUA1,4248 W 47TH ST,Chicago,Illinois,60632
14,400079,66395,ACERO - ZIZUMBO,Acero Charter Schools - SPC Daniel Zizumbo,ES,0,39,CTUA1,4248 W 47TH ST,Chicago,Illinois,60632
14,400080,66396,ACERO - TORRES,Acero Charter Schools - PFC Omar E. Torres,ES,0,41,CTUA1,4248 W 47TH ST,Chicago,Illinois,60632
